M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,5,Jalolova,C,S,0,0,0,0,-,0,0,0,2,2,0,0,0,1,1,0,0,0,6,6,0,0,0,0,0,-,8,2,12,50,3,0,27,30,10
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,6,Mamatkosimova ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,1,0,1,100,0,0,11,11,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,7,Boymirzaeva ,-,O,6,3,3,0,-,18.18,3,2,7,12,8.33,3,0,4,7,42.86,0,0,3,3,0,0,0,0,0,-,3,2,5,20,0,0,2,2,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,8,Tursunpulatova ,-,OH,6,5,0,1,-,14.81,5,2,15,22,13.64,0,0,1,1,0,1,0,3,4,25,2,1,10,13,7.69,3,0,4,75,0,0,4,4,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,9,Ergasheva ,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,10,Rokhimova ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,11,Omonkulova ,-,OH,0,0,0,0,-,-33.33,0,1,1,2,-50,0,0,1,1,0,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,12,Begimkulova ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,13,Mirzaeva ,-,MB,1,0,1,0,-,-25,0,0,3,3,0,1,4,3,8,-37.5,0,0,1,1,0,0,0,0,0,-,1,0,1,100,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,4,14,Nurmatova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,5,5,0,7,3,11,36.36,0,0,8,8,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,1,Absamatova ,-,MB,0,0,0,0,-,-60,0,0,0,0,-,0,2,1,3,-66.67,0,1,1,2,-50,0,0,0,0,-,0,1,1,-100,0,0,1,1,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,2,Ismatova ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,3,Ikromova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,4,Murodova ,-,OH,2,2,0,0,-,14.29,2,1,3,6,16.67,0,0,0,0,-,0,0,1,1,0,0,0,4,4,0,4,0,4,100,0,0,1,1,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,5,Jalolova,C,S,0,0,0,0,-,0,0,0,0,0,-,0,0,1,1,0,0,0,2,2,0,0,0,0,0,-,1,0,1,100,0,0,9,9,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,6,Mamatkosimova ,-,S,1,1,0,0,-,0,1,0,0,1,100,0,0,0,0,-,0,1,0,1,-100,0,0,0,0,-,0,0,0,-,0,0,4,4,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,7,Boymirzaeva ,-,O,2,0,2,0,-,66.67,0,0,1,1,0,2,0,0,2,100,0,0,0,0,-,0,0,1,1,0,1,0,2,50,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,8,Tursunpulatova ,-,OH,1,1,0,0,-,-22.22,1,2,3,6,-16.67,0,1,0,1,-100,0,0,2,2,0,0,1,4,5,-20,0,2,3,-66.67,0,0,1,1,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,9,Ergasheva ,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,1,0,1,100,0,0,0,0,-
